Title,Authors,Book Type,Original Price,Discounted Price,ISBN-10,Published Date,Publisher,No. of Pages,URL
The Closed Circle,Jonathan Coe,eBook,,15.99,"9780141904160
",19 May 2008,,448 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780141904160.html
The Hunger Games,Suzanne Collins,eBook,,,"9781407135281
",1 March 2012,,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781407135281.html
Where Good Ideas Come From,Steven Johnson,eBook,,15.99,"9780141964591
",7 October 2010,,336 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780141964591.html
Claiming the Dragon King,Amelia Hutchins,eBook,,6.99,"9780997720105
",10 July 2018,,ePUB,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780997720105.html
,,,,,"9780241192061
",,,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780241192061.html
The Boy with the Topknot,Sathnam Sanghera,eBook,,15.99,"9780670923090
",29 November 2012,,336 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780670923090.html
The Art of War,Sun Tzu,eBook,,16.99,"9780857081025
",Edition Number 1,,220 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780857081025.html
Lean In,Sheryl Sandberg,eBook,,18.99,"9780753549063
",Edition Number 1,,240 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780753549063.html
The Lost Hero (Heroes of Olympus Book 1),Rick Riordan,eBook,,9.99,"9780141965550
",12 October 2010,9 - 12 years old,576 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780141965550.html
The Other Side of the Story,Marian Keyes,eBook,,15.99,"9780141909653
",10 March 2005,,656 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780141909653.html
Another Woman,Penny Vincenzi,eBook,,12.99,"9780755351473
",4 September 2008,,640 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780755351473.html
Titmuss Regained,John Mortimer,eBook,,15.99,"9780141959856
",4 November 2010,,272 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780141959856.html
Thor & Loki,Jeff Limke,E-Book,,,"9781306291859
",1 January 2006,,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781306291859.html
Thin,Grace Bowman,eBook,,18.99,"9780141905570
",25 January 2007,,304 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780141905570.html
Shadow of Night,Deborah Harkness,eBook,,13.99,"9780755384761
",10 July 2012,Headline,605 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780755384761.html
Lover Mine,J. R. Ward,eBook,,11.99,"9780748117468
",6 May 2010,"Little, Brown Book Group",544 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780748117468.html
Uprooted,Naomi Novik,eBook,,,"9780804179041
",1 January 2015,,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780804179041.html
Going Dutch,Katie Fforde,eBook,,15.99,"9781407011349
",7 December 2010,,432 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781407011349.html
,,,,,"9780307414250
",,,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780307414250.html
Xero For Dummies,Heather Smith,eBook,,,"9780730363996
",Edition Number 4,,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780730363996.html
1st to Die,James Patterson,eBook,,12.99,"9780755387052
",23 June 2011,Headline,375 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780755387052.html
Night Frost,R D Wingfield,eBook,,15.99,"9781407068060
",27 April 2010,,432 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781407068060.html
Notes to Self,Emilie Pine,eBook,,15.99,"9780241986233
",31 January 2019,,192 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780241986233.html
The French Slow Cooker,Michele Scicolone,eBook,39.59,31.99,"9780547607955
",16 April 2024,,240 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780547607955.html
Dear Evan Hansen,Val Emmich,eBook,,12.99,"9780241361863
",9 October 2018,,368 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780241361863.html
Hope,Lesley Pearse,eBook,,15.99,"9780141900940
",11 January 2007,,688 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780141900940.html
A Dedicated Man,Peter Robinson,eBook,,,"9780330469289
",4 September 2008,,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780330469289.html
A Short History of Europe,Simon Jenkins,eBook,,15.99,"9780241352533
",8 November 2018,,400 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780241352533.html
Arnhem,Antony Beevor,eBook,,14.99,"9780141941295
",17 May 2018,,496 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780141941295.html
There Is No Planet B,Mike Berners-Lee,eText,,18.95,"9781108337519
",28 February 2019,,PDF,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781108337519.html
Paradise Lodge,Nina Stibbe,eBook,,15.99,"9780241974933
",2 June 2016,,320 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780241974933.html
Strumpet City,James Plunkett,eBook,,8.99,"9780717155651
",22 February 2013,,560 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780717155651.html
Introducing Postmodernism,Richard Appignanesi,E-Book,,,"9781281371973
",Edition Number 2,,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781281371973.html
,,,,,"9780297857440
",,,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780297857440.html
"I've Been Killing Slimes for 300 Years and Maxed Out My Level, Vol. 1",Kisetsu Morita,eBook,17.60,16.99,"9780316448284
",24 April 2018,,ePUB,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780316448284.html
Mr Loverman,Bernardine Evaristo,eBook,,15.99,"9780241963913
",29 August 2013,,288 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780241963913.html
,,,,,"9780307422316
",,,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780307422316.html
The Bridge at Remagen,Ken Hechler,eBook,10.27,9.99,"9780307514929
",25 March 2009,,ePUB,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780307514929.html
A Perfect Spy,John le Carré,eBook,,15.99,"9780241322499
",27 September 2018,,688 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780241322499.html
Blood Song,Anthony Ryan,eBook,,12.99,"9781405525961
",11 April 2013,"Little, Brown Book Group",592 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781405525961.html
The Eagle and the Wolves (Eagles of the Empire 4),Simon Scarrow,eBook,,12.99,"9780755350858
",4 September 2008,Headline,448 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780755350858.html
Excession,Iain M. Banks,eBook,,12.99,"9780748110001
",4 September 2008,,464 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780748110001.html
Brothers York,Thomas Penn,eBook,,19.99,"9780718197292
",3 October 2019,,640 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780718197292.html
The Secret Diary of Adrian Mole Aged 13 ¾,Sue Townsend,eBook,,9.99,"9780141962900
",5 November 2009,,272 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780141962900.html
The Girl On Legare Street,Karen White,eBook,10.27,9.99,"9781101155646
",3 November 2009,,ePUB,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781101155646.html
How I Made $2 Million in the Stock Market,Nicolas Darvas,eBook,21.99,20.99,"9780857191410
",27 March 2020,,198 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780857191410.html
The Summer Queen,Elizabeth Chadwick,eBook,,12.99,"9780748133833
",20 June 2013,"Little, Brown Book Group",496 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780748133833.html
,,,,,"9780307351487
",,,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780307351487.html
Hellion,Karen Lynch,eBook,,6.87,"9781370046782
",8 January 2019,,ePUB,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781370046782.html
You Can't Hide (The Chicago Series Book 4),Karen Rose,Paperback,,22.50,"9780755384839
",Edition Number 1,Headline Publishing Group,448 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780755384839.html
,,,,,"9780307388629
",,,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780307388629.html
,,,,,"9780307483690
",,,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780307483690.html
The Winner,David Baldacci,eBook,,,"9780330527989
",16 May 2011,,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780330527989.html
Our Man in Charleston,Christopher Dickey,eBook,25.70,20.99,"9780307887290
",21 July 2015,,ePUB,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780307887290.html
Postmortem,Patricia Cornwell,eBook,,12.99,"9780748109500
",4 September 2008,"Little, Brown Book Group",416 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780748109500.html
Hardwired,Meredith Wild,Paperback,22.17,21.75,"9780989768412
",24 January 2015,WATERHOUSE PR,288 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780989768412.html
One Of Us Is Next,Karen M. McManus,eBook,,9.99,"9780241376935
",9 January 2020,9 - 12 years old,308 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780241376935.html
The Blind Assassin,Margaret Atwood,eBook,,11.99,"9780748113347
",3 September 2009,,656 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780748113347.html
Alaska,James A. Michener,eBook,27.42,21.99,"9780804151429
",17 December 2013,,ePUB,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780804151429.html
Solo,Jill Mansell,eBook,,11.99,"9780755351879
",10 February 2008,,300 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780755351879.html
The Hand That First Held Mine,Maggie O'Farrell,eBook,,11.99,"9780755373277
",29 April 2010,,352 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780755373277.html
The Body Farm,Patricia Cornwell,eBook,,11.99,"9780748109586
",4 September 2008,"Little, Brown Book Group",400 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780748109586.html
Welcome To Rosie Hopkins' Sweetshop Of Dreams,Jenny Colgan,eBook,,12.99,"9780748121960
",29 March 2012,"Little, Brown Book Group",400 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780748121960.html
The Firm,John Grisham,eBook,,15.99,"9781407059044
",21 April 2010,,496 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781407059044.html
The Eagle In The Sand (Eagles of the Empire 7),Simon Scarrow,eBook,,12.99,"9780755350803
",4 September 2008,Headline,448 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780755350803.html
Raise the Titanic,Clive Cussler,eBook,,11.99,"9780748114337
",17 September 2009,"Little, Brown Book Group",320 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780748114337.html
"Change Your Thoughts, Change Your Life",Dr. Wayne W. Dyer,eBook,19.06,15.99,"9781401920524
",31 July 2007,,395 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781401920524.html
Last Chance Saloon,Marian Keyes,eBook,,15.99,"9780141909820
",7 July 2005,,608 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780141909820.html
The Great Hunt,Robert Jordan,Paperback,22.99,20.40,"9780356503837
",Edition Number 1,Little Brown,720 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780356503837.html
In Peace Lies Havoc (Midnight Mayhem: Book I),Amo Jones,eBook,,,"9781393487326
",5 November 2019,,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781393487326.html
The First Fifteen Lives of Harry August,Claire North,eBook,,11.99,"9781405528252
",8 April 2014,,416 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781405528252.html
The Sword Of Shannara,Terry Brooks,eBook,,12.99,"9781405515665
",23 February 2012,"Little, Brown Book Group",672 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781405515665.html
The Dollhouse,Fiona Davis,eBook,23.99,19.99,"9781101985007
",23 August 2016,,ePUB,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781101985007.html
The Leadership Challenge,James M. Kouzes,eText,,41.79,"9781119278979
",Edition Number 6,,ePUB,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781119278979.html
A Pound Of Flesh,Alex Gray,eBook,,12.99,"9780748117383
",1 March 2012,"Little, Brown Book Group",352 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780748117383.html
Stardust,Neil Gaiman,Paperback,22.99,18.95,"9780755322824
",Edition Number 1,GB,214 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780755322824.html
The Boundless Sea,David Abulafia,eBook,,19.99,"9780141972091
",3 October 2019,,512 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780141972091.html
The Lady in the Lake and Other Novels,Raymond Chandler,eBook,,16.99,"9780141190761
",7 June 2001,,608 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780141190761.html
Blue Monday,Nicci French,eBook,,15.99,"9780141970257
",23 June 2011,,432 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780141970257.html
Masters of Rome,Robert Fabbri,eBook,9.49,8.99,"9780857899644
",Edition Number 1,Corvus,300 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780857899644.html
Apache Dawn,Damien Lewis,eBook,,,"9780748122769
",2 September 2010,,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780748122769.html
Body Swap,Katrina Kahler,eBook,,,"9781370005321
",28 March 2017,,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781370005321.html
Our Band Could Be Your Life,Michael Azerrad,eBook,,25.99,"9780316247184
",1 December 2012,,528 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780316247184.html
,,,,,"9780141960241
",,,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780141960241.html
Any Human Heart,William Boyd,eBook,,15.99,"9780141925325
",6 March 2003,,512 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780141925325.html
Crime and Punishment,Fyodor Dostoevsky,eBook,,10.99,"9780141956961
",27 February 2014,,720 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780141956961.html
,,,,,"9780062368683
",,,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780062368683.html
Hunger,Michael Grant,eBook,,13.99,"9780061911491
",26 May 2009,12 - 18 years old,608 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780061911491.html
The Fire Islands,Gilbert M. Stack,eBook,,,"9781370085170
",1 December 2017,,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781370085170.html
,,,,,"9780061802638
",,,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780061802638.html
The Catcher in the Rye,J. D. Salinger,eBook,,15.99,"9780241988794
",13 August 2019,,240 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780241988794.html
Bloodline,Mark Billingham,eBook,,12.99,"9780748111466
",6 August 2009,"Little, Brown Book Group",352 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780748111466.html
The Rule of Law,Rt Hon Lord Bingham of Cornhill KG PC FBA Tom Bingham,eBook,,15.99,"9780141962016
",7 July 2011,,224 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780141962016.html
Last Bus to Woodstock,Colin Dexter,eBook,,,"9780330468565
",21 August 2009,,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780330468565.html
A Moment of War,Laurie Lee,eBook,,15.99,"9780141929552
",1 January 2000,,192 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780141929552.html
March of the Lemmings,Stewart Lee,eBook,18.69,15.99,"9780571357048
",3 September 2019,,324 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780571357048.html
Path of the Assassin,Brad Thor,eBook,,9.99,"9780743483308
",15 April 2003,,384 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780743483308.html
The Case of the Missing Boyfriend,Nick Alexander,eBook,,5.99,"9780857896315
",1 August 2011,,200 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780857896315.html
The Collector,Nora Roberts,eBook,,11.99,"9781405522779
",15 April 2014,,496 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781405522779.html
The Deceivers,Kristen Simmons,eBook,14.95,11.99,"9781250175816
",5 February 2019,,ePUB,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781250175816.html
Profit First,Mike Michalowicz,eBook,29.14,23.99,"9780735214163
",18 January 2017,,ePUB,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780735214163.html
Matter,Iain M. Banks,eBook,,12.99,"9780748110049
",4 September 2008,,608 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780748110049.html
If Beale Street Could Talk,James Baldwin,eBook,,15.99,"9780141963792
",1 January 2000,,240 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780141963792.html
Caves of Steel,Isaac Asimov,eBook,13.19,10.99,"9780307792419
",13 April 2011,,ePUB,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780307792419.html
Everything is Figureoutable,Marie Forleo,eBook,,4.99,"9780241341049
",12 September 2019,,240 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780241341049.html
The Glass Woman,Caroline Lea,eBook,,15.99,"9781405934633
",7 February 2019,,464 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781405934633.html
The Elements of Style,William Strunk Jr.,eBook,,5.80,"9780486113708
",Edition Number 1,,64 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780486113708.html
The Labyrinth Index,Charles Stross,eBook,,12.99,"9780356511078
",30 October 2018,,368 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780356511078.html
Billy Connolly's Tracks Across America,Billy Connolly,eBook,,19.99,"9780751564150
",31 March 2016,,288 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780751564150.html
The Tipping Point,Malcolm Gladwell,eBook,,,"9780759574731
",1 November 2006,,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780759574731.html
Dying for a Cruise,Joyce Cato,E-Book,,,"9781306020275
",1 January 2012,,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781306020275.html
Me Talk Pretty One Day,David Sedaris,eBook,,12.99,"9780748123032
",5 August 2010,,288 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780748123032.html
The Red Tent,Anita Diamant,eBook,,,"9780330507073
",18 September 2009,,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780330507073.html
The Bones Beneath,Mark Billingham,eBook,,11.99,"9781405527583
",22 May 2014,"Little, Brown Book Group",400 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781405527583.html
Brain Freeze,Tom Fletcher,eBook,,1.99,"9780241334225
",22 February 2018,,112 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780241334225.html
Mere Christianity,C. S. Lewis,eBook,,5.99,"9780061947438
",2 June 2009,,256 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780061947438.html
A Winter's Tale,Trisha Ashley,eBook,,9.99,"9780007328918
",29 May 2009,,416 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780007328918.html
A Mother's Courage,Dilly Court,eBook,,15.99,"9781407004563
",4 September 2008,,544 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781407004563.html
One Cretan Evening and Other Stories,Victoria Hislop,eBook,,3.99,"9780755389506
",15 September 2011,,72 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780755389506.html
The Hairy Bikers' 12 Days of Christmas,Hairy Bikers,eBook,,19.99,"9780297864547
",2 December 2010,,224 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780297864547.html
Quite Ugly One Morning,Christopher Brookmyre,eBook,,11.99,"9780748132034
",16 June 2011,"Little, Brown Book Group",320 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780748132034.html
Immortal in Death,J.D. Robb,eBook,,11.99,"9780748121779
",7 October 2010,"Little, Brown Book Group",352 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780748121779.html
The Lost Sisters,Holly Black,eBook,,,"9780316310444
",2 October 2018,7 - 17,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780316310444.html
The Tea Planter's Wife,Dinah Jefferies,eBook,,15.99,"9780241969564
",3 September 2015,,386 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780241969564.html
The Legion (Eagles of the Empire 10),Simon Scarrow,eBook,,12.99,"9780755357208
",11 November 2010,Headline,448 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780755357208.html
Ayoade on Top,Richard Ayoade,eBook,14.29,12.99,"9780571339150
",3 September 2019,,256 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780571339150.html
Rivers of London,Ben Aaronovitch,eBook,,11.99,"9780575097599
",10 January 2011,Orion,384 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780575097599.html
Village Christmas,Laurie Lee,eBook,,14.99,"9780241243688
",5 November 2015,,200 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780241243688.html
,,,,,"9780062982735
",,,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780062982735.html
Into the Fire,Gregg Hurwitz,eBook,,15.99,"9781405928571
",20 February 2020,,400 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781405928571.html
The Bracelet,Fredrica Alleyn,eBook,,16.99,"9780753549049
",Edition Number 1,,320 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780753549049.html
Belle,Lesley Pearse,eBook,,15.99,"9780141964072
",3 February 2011,,624 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780141964072.html
Revolting Rhymers,Quentin Blake,eBook,,0.00,"9780141386041
",6 February 2017,,32 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780141386041.html
Rafa,Rafael Nadal,eBook,,12.99,"9780748129454
",18 August 2011,,320 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780748129454.html
White Teeth,Zadie Smith,eBook,,15.99,"9780141939230
",25 January 2001,,560 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780141939230.html
You Are the Placebo,Dr. Joe Dispenza,eBook,27.86,22.99,"9781401944865
",29 April 2014,,ePUB,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781401944865.html
An Almost Perfect Christmas,Nina Stibbe,eBook,,15.99,"9780241981368
",2 November 2017,,176 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780241981368.html
Books for Girls,Katrina Kahler,eBook,,,"9781370912865
",24 April 2017,,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781370912865.html
The Children's Block,Otto B Kraus,eBook,,15.99,"9781473573222
",17 October 2019,,320 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781473573222.html
How Not to Be a Professional Racing Driver,Jason Plato,eBook,,14.99,"9780241404171
",19 September 2019,,304 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780241404171.html
